1;V0347;And;001349+2533.1;50000;43.632850;9.40;0.32;SR:;00;01;49;+;25;33.1
2;BH;And;001715+2235.7;50000;124.707837;10.12;1.12;SRB:;00;01;15;+;22;35.7
3;BH;And;001716+2235.6;53333.5;251.751669;10.18;1.22;SRB:;00;01;16;+;22;35.6
4;T;And;002223+2659.8;54600.2;599.000000;10.65;3.38;M;00;02;23;+;26;59.8
5;V0351;And;002801+2705.8;52767.6;50.375296;9.24;0.31;LB;00;02;01;+;27;05.8
6;TU;And;003223+2601.7;54072;619.000000;8.76;3.54;M;00;03;23;+;26;01.7
7;ZZ;And;004935+2701.3;52624.39;0.554540;12.55;0.97;RRAB;00;04;35;+;27;01.3
8;GP;And;005518+2309.9;52625.692;0.078683;10.31;0.46;DSCT;00;05;18;+;23;09.9
9;SX;Ant;092725-2927.3;52530.6;100.000000;10.65;0.76;LB;09;92;25;-;29;27.3
10;ZZ;Ant;092858-3421.7;52323.8;223.000000;11.37;0.66;M;09;92;58;-;34;21.7
11;VW;Ant;092905-3933.6;51868.98;1.084010;11.21;0.77;EA/SD;09;92;05;-;39;33.6
12;SY;Ant;093101-2912.9;52166.4;96.000000;9.92;0.50;LB;09;93;01;-;29;12.9
13;AM;Ant;093235-3359.8;51885.5;9.786000;9.29;0.08;ACV;09;93;35;-;33;59.8
14;T;Ant;093351-3636.9;51886.5;5.898000;8.88;0.84;DCEP:;09;93;51;-;36;36.9
15;RR;Ant;093539-3954.2;52325.9;104.800000;7.71;0.86;LB;09;93;39;-;39;54.2
16;RX;Ant;093755-2743.9;52402;238.000000;10.71;3.07;M;09;93;55;-;27;43.9
17;RY;Ant;093807-2743.5;52284.3;221.000000;10.34;0.47;SR;09;93;07;-;27;43.5
18;RZ;Ant;093836-2956.9;52819.2;1408.000000;12.68;1.50;SR;09;93;36;-;29;56.9
19;SS;Ant;093911-2633.1;51869.79;0.483715;12.94;1.34;RRAB;09;93;11;-;26;33.1
20;AO;Ant;094035-3632.3;51993.1;138.100000;8.69;0.24;LB:;09;94;35;-;36;32.3
21;TY;Ant;094620-2924.3;52039.2;65.500000;11.32;0.62;L:;09;94;20;-;29;24.3
22;TZ;Ant;094644-2918.7;52035;100.100000;10.91;0.77;L;09;94;44;-;29;18.7
23;UU;Ant;094652-2642.7;51869.96;1.364170;11.72;0.34;E;09;94;52;-;26;42.7
24;SV;Ant;094658-2738.4;53742.7;295.000000;12.33;2.29;M;09;94;58;-;27;38.4
25;SW;Ant;094827-2511.4;51869.35;0.380204;13.07;0.80;EW/KW;09;94;27;-;25;11.4
26;UW;Ant;094854-2807.3;52310.9;257.000000;12.33;0.88;L;09;94;54;-;28;07.3
27;XX;Ant;094925-3820.9;51869.83;0.888020;8.59;0.61;EB/DM;09;94;25;-;38;20.9
